,,,,,,,,,
Store,item,price,type,Cal,pic,,,,
85度C,多穀乾酪,$50,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E5%A4%9A%E7%A9%80%E4%B9%BE%E9%85%AA.jpg,,,,
85度C,麵包棒 (1包),$45,麵包,,http://www.85cafe.com/file/product/w500/%E7%89%9B%E5%A5%B6%E6%A3%92.jpg,,,,
85度C,高纖雜糧,$45,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E9%AB%98%E7%BA%96%E9%9B%9C%E7%B3%A7.jpg,,,,
85度C,高纖核果,$45,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E9%AB%98%E7%BA%96%E6%A0%B8%E6%9E%9C-%E5%A5%B6%E7%B4%A0.jpg,,,,
85度C,法國魔杖,$35,麵包,,http://www.85cafe.com/file/product/w500/%E6%B3%95%E5%9C%8B%E9%AD%94%E6%9D%96.jpg,,,,
85度C,法國香蒜,$25,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E6%B3%95%E5%9C%8B%E9%A6%99%E8%92%9C.jpg,,,,
85度C,義式香酥棒,$20,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E7%BE%A9%E5%BC%8F%E9%A6%99%E9%85%A5%E6%A3%92.jpg,,,,
85度C,香蒜德國腸,$12,麵包,,http://www.85cafe.com/file/product/w500/%E6%AD%90%E5%BC%8F-%E9%A6%99%E8%92%9C%E5%BE%B7%E5%9C%8B%E8%85%B8.jpg,,,,
85度C,起士三明治,$28,麵包,,http://www.85cafe.com/file/product/w500/%E8%B5%B7%E5%8F%B8%E4%B8%89%E6%98%8E%E6%B2%BB.jpg,,,,
85度C,火腿三明治,$28,麵包,,http://www.85cafe.com/file/product/w500/%E7%81%AB%E8%85%BF%E4%B8%89%E6%98%8E%E6%B2%BB-0.jpg,,,,
85度C,摩卡咖啡　　冰/熱,$70.00,飲料,,http://www.85cafe.com/file/product/w500/%E6%91%A9%E5%8D%A1%E5%92%96%E5%95%A1.jpg,,,,
85度C,焦糖瑪奇朵　　冰/熱,$80.00,飲料,,http://www.85cafe.com/file/product/w500/%E7%84%A6%E7%B3%96%E7%91%AA%E5%A5%87%E6%9C%B5.jpg,,,,
85度C,卡布奇諾　　冰/熱,$70.00,飲料,,http://www.85cafe.com/file/product/w500/%E5%8D%A1%E5%B8%83%E5%A5%87%E8%AB%BE-0.jpg,,,,
85度C,重拿鐵咖啡　　冰/熱,$70.00,飲料,,http://www.85cafe.com/file/product/w500/%E9%87%8D%E6%8B%BF%E9%90%B5.jpg,,,,
85度C,拿鐵咖啡　　冰/熱,$55.00,飲料,,http://www.85cafe.com/file/product/w500/%E6%8B%BF%E9%90%B5.jpg,,,,
85度C,招牌咖啡　　冰/熱,$45.00,飲料,,http://www.85cafe.com/file/product/w500/%E6%8B%9B%E7%89%8C%E5%92%96%E5%95%A1.jpg,,,,
85度C,美式咖啡　　冰/熱,$35.00,飲料,,http://www.85cafe.com/file/product/w500/%E7%BE%8E%E5%BC%8F%E5%92%96%E5%95%A1.jpg,,,,
85度C,海岩咖啡　　冰/熱,$60.00,飲料,,http://www.85cafe.com/file/product/w500/drink_01_06.jpg,,,,
85度C,芋頭拿鐵,$65.00,飲料,,http://www.85cafe.com/file/product/w500/%E8%8A%8B%E9%A0%AD%E6%8B%BF%E9%90%B5%E5%B0%8F%E5%9C%96.jpg,,,,
